"","CV_QC","CV_Samples"
"M10034",52.5877353371167,96.7486544042951
"M3260",30.9126514430944,59.2713997136469
"M1564",21.9856610910747,102.058088613119
"M2293",52.8234394822706,83.1726980199348
"M3261",45.4755139651818,73.6394465244791
"M21795",31.4496078966832,94.3379043704077
"M3543",21.9498843558811,63.2470320022128
"M2294",57.1192934256272,109.907414253281
"M3262",61.5578564478784,102.897163362306
"M3263",46.82793889338,82.5223497135003
"M3264",36.6833792095432,58.696016050459
"M31434",77.9557258136216,102.259528603233
"M2295",53.8459454417752,95.4423259312182
"M31211",43.2129735523839,42.9433770459565
"M40669",184.944627909481,141.596448261878
